,PMCID,sentence
0,PMC5957527,"    <p>
          <related-object content-type=""generated-dataset"" id=""dataset3"" source-id=""https://openneuro.org/datasets/ds000249/versions/00002"" source-id-type=""uri"">
            <collab collab-type=""author"
1,PMC5957527," in human avoidance learning</source>
            <ext-link ext-link-type=""uri"" xlink:href=""https://openneuro.org/datasets/ds000249/versions/00002"">https://openneuro.org/datasets/ds000249/versions/00002</ext-l"
2,PMC5957527,"ink ext-link-type=""uri"" xlink:href=""https://openneuro.org/datasets/ds000249/versions/00002"">https://openneuro.org/datasets/ds000249/versions/00002</ext-link>
            <comment>Publicly available at Open Neu"
